date,open,close,high,low,volume
20201228  15:20,666.51,666.95,667.09,665.75,1363
20201228  15:25,666.95,666.69,667.42,666.31,1124
20201228  15:30,666.82,666.75,667.23,666.3,1183
20201228  15:35,666.79,667.01,667.15,666.13,1156
20201228  15:40,666.9,666.95,668.04,666.4,1874
20201228  15:45,667.03,665.5,667.03,664.92,3250
20201228  15:50,665.38,663,666.39,662.99,3482
20201228  15:55,663.01,663.77,664.34,662.27,5062
20201228  16:00,663.14,663.6,664,663,10366
20201228  16:05,663.56,662.5,663.56,662,96
20201228  16:10,662.5,662.1,662.5,661.9,94
20201228  16:15,662.25,663.13,663.3,662.1,68
20201228  16:20,663.3,663.05,663.9,662.91,88
20201228  16:25,663.63,662.5,663.63,662.49,40
20201228  16:30,662.5,662.5,663.69,662.3,46
20201228  16:35,663,663.3,663.51,663,16
20201228  16:40,663.63,663.5,663.98,663.5,72
20201228  16:45,663.23,663,663.23,662.76,17
20201228  16:50,662.98,663.25,663.69,662.98,37
20201228  16:55,663.44,663.02,663.45,663,28
20201228  17:00,663.02,662.98,663.15,662.81,28
20201228  17:05,662.82,662.32,662.89,662.32,41
20201228  17:10,663.69,662.86,663.69,662.49,196
20201228  17:15,662.76,662.8,662.8,662.61,13
20201228  17:20,662.61,662.52,662.8,662.45,65
20201228  17:25,662.55,662.73,662.75,662.49,19
20201228  17:30,662.5,662.5,662.5,662.49,6
20201228  17:35,662.54,662.5,662.67,662.49,13
20201228  17:40,662.37,662.45,662.45,662.37,3
20201228  17:45,662.48,661.8,662.48,661.75,139
20201228  17:50,661.54,661.5,661.99,661.5,34
20201228  17:55,661.8,661.5,661.8,661.27,23
20201228  18:00,661.3,661.71,661.71,661.1,50
20201228  18:05,661.71,661.77,661.77,661.4,29
20201228  18:10,661.7,662,662,661.7,4
20201228  18:15,662.1,662.4,662.49,662.05,57
20201228  18:20,662.18,662.4,662.4,662.18,17
20201228  18:25,662.34,662.49,662.5,662.3,44
20201228  18:30,662.36,662.25,662.4,662.25,20
20201228  18:35,662.06,662.1,662.35,662.05,20
20201228  18:40,662.2,662.16,662.35,662.16,4
20201228  18:45,662.28,662.3,662.3,662.28,4
20201228  18:50,662.25,662.3,662.3,662.25,9
20201228  18:55,662.3,662.3,662.3,662.3,0
20201228  19:00,662.25,662.1,662.36,662.1,64
20201228  19:05,662.3,662.27,662.3,662.25,7
20201228  19:10,662.2,662.36,662.36,662.2,2
20201228  19:15,662.36,662,662.36,662,37
20201228  19:20,661.9,662.25,662.3,661.7,58
20201228  19:25,662.02,662.1,662.36,662,17
20201228  19:30,662.35,662.46,662.46,662,29
20201228  19:35,662.46,662.45,662.49,662.34,40
20201228  19:40,662.3,662.24,662.5,662,105
20201228  19:45,662.1,660.5,662.1,660.49,85
20201228  19:50,660.31,660.08,660.98,660,220
20201228  19:55,660.08,660,660.3,659.7,233
20201229  04:00,665,663,665,663,16
20201229  04:05,664.37,666,666,664.37,15
20201229  04:10,666.26,666.66,666.66,666.25,5
20201229  04:15,666.66,666.66,666.66,666.66,2
20201229  04:20,667,667,667,667,2
20201229  04:25,667,667,667,667,0
20201229  04:30,667.96,667.65,667.96,667.65,2
20201229  04:35,667.65,667.65,667.65,667.65,0
20201229  04:40,667.38,667.38,667.38,667.37,1
20201229  04:45,666.66,666.66,666.66,666.66,1
20201229  04:50,666.66,666.66,666.66,666.66,0
20201229  04:55,666.66,666.66,666.66,666.66,0
20201229  05:00,666.66,666.66,666.66,666.66,0
20201229  05:05,666.66,666.66,666.66,666.66,0
20201229  05:10,666.66,666.66,666.66,666.66,0
20201229  05:15,666.66,666.66,666.66,666.66,0
20201229  05:20,666.66,666.66,666.66,666.66,0
20201229  05:25,666.5,666.5,666.5,666.49,1
